id_del_proceso,referencia_del_proceso,entidad,nit_entidad,departamento_entidad,ciudad_entidad,ordenentidad,modalidad_de_contratacion,modalidad_corta,tipo_de_contrato,nombre_del_procedimiento,fecha_de_publicacion_del,fecha_adjudicacion,anio_adjudicacion,precio_base,valor_total_adjudicacion,respuestas_al_procedimiento,proveedores_unicos_con,proveedores_invitados,rango_oferentes,baja_competencia,nombre_del_proveedor,nit_del_proveedor_adjudicado,departamento_proveedor,ciudad_proveedor,estado_del_procedimiento,estado_resumen
CO1.REQ.8610154,SASD-191-CENACAVIACION-2025 (Manifestación de interés (Menor Cuantía)) (Presentación de oferta),CENAC AVIACION,830039207,Distrito Capital de Bogotá,No Definido,Nacional,Selección Abreviada de Menor Cuantía,Menor Cuantía,Prestación de servicios,SERVICIOS DE MANTENIMIENTO Y/O EXCHANGE; ADQUISICIÓN DE COMPONENTES UH60 (Manifestación de interés (Menor Cuantía)) (Presentación de oferta),2025-07-23,2025-08-19,2025.0,10979236356,40000,11,11,17,6+ oferentes,0,AVIATION INTERNATIONAL SOLUTIONS,80-0696494, Florida,No Definido,Seleccionado,Adjudicado
CO1.REQ.8656014,IPMC-014-2025,DEPARTAMENTO ADMINISTRATIVO NACIONAL DE ESTADISTICA (DANE),899999027,Distrito Capital de Bogotá,Bogotá,Nacional,Mínima cuantía,Mínima Cuantía,Compraventa,Adquisición de certificados de firma digital centralizado y para facturación electrónica de persona jurídica; que garanticen la capacidad de la arquitectura tecnológica en el momento del registro de l,2025-07-31,2025-08-21,2025.0,57004275,37842000,3,3,0,2-5 oferentes,0,Gestión de Seguridad Electrónica S.A.,No Definido,Distrito Capital de Bogotá,Bogotá,Seleccionado,Adjudicado
CO1.REQ.976985,LP-DT-CAU-003-2019_3 (Fase de Selección (Presentación de ofertas)),INVIAS,800215807,Distrito Capital de Bogotá,Bogotá,Nacional,Licitación pública Obra Publica,Licitación Obra Pública,Obra,MANTENIMIENTO RUTINARIO; DE VIAS A CARGO DEL INSTITUTO NACIONAL DE VIAS; DIRECCIÓN TERRITORIAL CAUCA PROCESO DE LICITACION PÚBLICA (PRODUCTO VIA PRIMARIA MANTENIDA) (Fase de Selección (Presentación de,2019-09-30,2022-07-08,2022.0,53520784298,1217527123,51,51,0,6+ oferentes,0,COOPERATIVA DE TRABAJO ASOCIADO SIGLO XXI,817002635,Cauca,Bolívar,Seleccionado,Adjudicado
CO1.REQ.9500237,FLO-INFRA-SA-MC-007-2025 (Manifestación de interés (Menor Cuantía)) (Presentación de oferta),ALCALDIA DE FLORIDABLANCA,890205176,Santander,Floridablanca,Territorial,Selección Abreviada de Menor Cuantía,Menor Cuantía,Obra,ADECUACION Y MANTENIMIENTO DE ALGUNAS INSTALACIONES DEL PALACIO MUNICIPAL DEL MUNICIPIO DE FLORIDABLANCA; SANTANDER (Manifestación de interés (Menor Cuantía)) (Presentación de oferta),2025-12-30,2026-01-27,2026.0,305813941,305644297,3,3,10,2-5 oferentes,0,CONSTRUOBRAS ISAVAL S.A.S,No Definido,Santander,Bucaramanga,Seleccionado,Adjudicado
CO1.REQ.9263598,IP-2025-145,ALCALDIA DE PASTO,891280000,Nariño,Pasto,Territorial,Mínima cuantía,Mínima Cuantía,Suministros,MINIMA IMPLEMENTOS DE GIMNASIO,2025-11-13,2025-12-02,2025.0,92400000,82076690,5,5,0,2-5 oferentes,0,IMEDSUR SAS,900363690,Nariño,Pasto,Seleccionado,Adjudicado
CO1.REQ.6504622,SASI-0014-SG-2024 (Presentación de oferta),INSTITUTO NACIONAL DE MEDICINA LEGAL Y CIENCIAS FORENSES,800150861,Distrito Capital de Bogotá,No Definido,Nacional,Selección abreviada subasta inversa,Subasta Inversa,Compraventa,ADQUISICIÓN DE INSUMOS PARA LOS EQUIPOS DE ALTA TECNOLOGÍA DE LOS LABORATORIOS FORENSES DEL INSTITUTO NACIONAL DE MEDICINA LEGAL Y CIENCIAS FORENSES A NIVEL NACIONAL (Presentación de oferta),2024-07-16,2024-08-26,2024.0,3029087169,1634865104,15,4,0,6+ oferentes,0,CASA CIENTIFICA BLANCO Y COMPAÑIA SAS,860502528,Cundinamarca,No Definido,Seleccionado,Adjudicado
CO1.REQ.1340038,SELECCIÓN ABREVIADA 04-2020 MDN-EJC-ARC (Presentación de oferta),MINISTERIO DE DEFENSA NACIONAL,899999003,Distrito Capital de Bogotá,Bogotá,Nacional,Selección abreviada subasta inversa,Subasta Inversa,Compraventa,ADQUISICIÓN DE RACIONES DE CAMPAÑA DE 24 HORAS NTMD 065-A6 (Presentación de oferta),2020-06-24,2020-08-19,2020.0,3422197977,3422164000,6,3,0,6+ oferentes,0,Industrias Alimentos y Catering SAS - Catalinsa SAS,No Definido,Distrito Capital de Bogotá,Bogotá,Seleccionado,Adjudicado
CO1.REQ.855134,SMC-ICC-105-2019,INSTITUTO CARO Y CUERVO,899999096,Distrito Capital de Bogotá,Bogotá,Nacional,Mínima cuantía,Mínima Cuantía,Compraventa,ADQUISICIÓN DE ELEMENTOS DE PRODUCCIÓN AUDIOVISUAL,2019-05-08,2019-05-22,2019.0,14885941,9419000,8,8,0,6+ oferentes,0,DIGITAL CENTER VENTAS E IMPORTACIONES JE SAS,No Definido,Distrito Capital de Bogotá,Bogotá,Seleccionado,Adjudicado
CO1.REQ.8509570,MC-022-2025,ALCALDIA MUNICIPAL CONTRATACION SANTANDER,890206058,Santander,Contratación,Territorial,Mínima cuantía,Mínima Cuantía,Suministros,SUMINISTRO DE ALIMENTACIÓN Y HOSPEDAJE AL PERSONAL DE APOYO; COMISIÓN Y SERVICIOS EXTRAORDINARIOS EN EL MUNICIPIO DE CONTRATACIÓN SANTANDER; CON EL FIN DE FORTALECER LA SEGURIDAD Y LA CONVIVENCIA,2025-07-03,2025-07-15,2025.0,9960000,9080000,3,3,0,2-5 oferentes,0,JAIRO ROLON GELVEZ,No Definido,Bolívar,Simití,Seleccionado,Adjudicado
CO1.REQ.1139847,PN DIRAN SA 003 2020 (Presentación de oferta),DIRECCION DE ANTINARCOTICOS,800141379,Distrito Capital de Bogotá,Bogotá,Nacional,Selección abreviada subasta inversa,Subasta Inversa,Suministros,SUMINISTRO DE COMBUSTIBLE DE AVIACIÓN PARA LAS AERONAVES DE LA POLICÍA NACIONAL O AL SERVICIO DE LA MISMA (Presentación de oferta),2020-02-10,2020-03-05,2020.0,25531587000,11312665,6,6,0,6+ oferentes,0,FASTER FUEL SAS,900185158,Distrito Capital de Bogotá,No Definido,Seleccionado,Adjudicado
